,,,,,,,,
Will McDonald,C-PF,11.83,-,3.42,25,32.5,17,2003
Darko Milicic,PF,11.3,-,3.36,26.5,32.5,13,2003
Jeff Newton,PF,11.18,-,3.23,27.5,34,9,2003
Uche Nsonwu-Amadi,PF-C,11.83,-,3.25,27.5,29,21,2003
Ugonna Okyekwe,SF,11.43,-,3.2,32,36.5,8,2003
Marlon Parmer,PG,-,-,3.42,28,32,13,2003
Stephane Pelle,PF-SF,11.37,-,3.27,28.5,33,17,2003
Kirk Penney,SG-SF,10.44,-,3.04,32,35.5,15,2003
Pavel Podkolzin,C,13.4,-,3.8,19.5,22.5,5,2003
Josh Powell,PF-SF,11.72,-,3.2,32.5,38.5,15,2003
Hollis Price,PG-SG,10.72,-,3.25,27.5,33,1,2003
Luke Ridnour,PG,11,-,3.28,26,32.5,-,2003
Joe Shipp,SG,11.75,-,3.2,29,34.5,17,2003
Ron Slay,SF-PF,12.01,-,3.43,28.5,31.5,10,2003
Theron Smith,PF-SF,10.99,-,3.1,28.5,32,25,2003
Tommy Smith,PF-SF,11.54,-,3.14,30,33,2,2003
Marvin Stone,C-PF,12.1,-,3.5,25.5,27.5,9,2003
Michael Sweetney,PF,12.9,-,3.28,26,31.5,3,2003
Sasha Vujacic,PG-SG,-,-,-,-,-,-,2003
Dwyane Wade,SG-SF,10.56,-,3.08,31.5,35,9,2003
Wayne Wallace,PF,11.85,-,3.24,29.5,36,6,2003
Luke Walton,SF-PF,-,-,-,28,-,12,2003
David West,PF-SF,12.18,-,3.43,28.5,31.5,11,2003
Mo Williams,PG-SG,-,-,-,-,-,3,2003
Wesley Wilson,C-PF,12.19,-,3.3,27,30.5,20,2003
Doug Wrenn,SF-PF,11.38,-,3.17,34.5,41,15,2003
Derrick Zimmerman,PG,11.09,-,3.1,34,40.5,13,2003
Nene,PF,10.73,-,3.19,30,34,16,2002
Robert Archibald,PF-C,11.34,-,3.33,24,27.5,10,2002
Maurice Baker,PG,12.19,-,3.29,29.5,33,2,2002
Matt Barnes,SF,10.68,-,3.28,35.5,40.5,11,2002
Lubos Barton,SF-SG,11.2,-,3.31,25.5,31.5,14,2002
Lonny Baxter,PF-C,11.77,-,3.21,28,32.5,14,2002
Lee Benson,SF-PF,11.44,-,3.29,27.5,32.5,14,2002
Carlos Boozer,PF,10.77,-,3.31,26.5,28.5,13,2002
Curtis Borchardt,C,12.56,-,3.63,24,27,7,2002
J.R. Bremer,SG-PG,10.93,-,3.1,30,35.5,24,2002
Brian Brown,PG-SG,11.43,-,3.29,26,33,8,2002
Sylvere Bryan,PF,12.03,-,3.2,28.5,29.5,13,2002
Chris Burgess,C,11.58,-,3.37,24.5,31,24,2002
Caron Butler,SF-SG,12.15,-,3.33,27,31,2,2002
Rasual Butler,SF,11.54,-,3.29,31.5,37.5,10,2002
Mire Chatman,PG-SG,11.12,-,3.18,29,33,1,2002
Chris Christoffersen,C,12.55,-,3.39,28,31,13,2002
Lenny Cooke,SG-SF,-,-,-,-,-,-,2002
Craig Dawson,SG-SF,12.06,-,3.25,26,30,-,2002
Mike Dunleavy,SF,11.55,-,3.3,24.5,29,11,2002
Teddy Dupay,PG,10.53,-,3.19,28,33,16,2002
Corsley Edwards,PF,12.18,-,3.31,28.5,33,12,2002
Andy Ellis,PF,11.69,-,3.34,32,35.5,6,2002
Melvin Ely,PF,11.96,-,3.35,26,29,7,2002
Reggie Evans,PF,12.73,-,3.26,26,29.5,15,2002
Peter Fehse,PF-C,-,-,-,-,-,-,2002
Drew Gooden,PF,11.81,-,3.19,29,33,13,2002
David Graves,SG,11.2,-,3.27,26,29.5,8,2002
Lynn Greer,PG,11.24,-,3.16,29.5,36.5,12,2002
Rod Grizzard,SF-SG,-,-,-,-,-,6,2002
Anthony Grundy,PG-SG,11.1,-,3.39,27.5,32,-,2002
Marcus Haislip,PF,11.35,-,3.21,33.5,36.5,8,2002
Damon Hancock,SG-PG,11.62,-,3.03,32,35,15,2002
Greg Harrington,PG,12.06,-,3.32,28.5,34,15,2002
Udonis Haslem,PF,11.8,-,3.31,28.5,33.5,22,2002
Cordell Henry,PG,11.3,-,3.04,33,37.5,1,2002
Randy Holcomb,SF-PF,12.85,-,3.22,29.5,35.5,15,2002
Ryan Humphrey,PF-SF,11.75,-,3.2,31.5,37.5,13,2002
Jared Jeffries,PF,11.73,-,3.4,26,30,9,2002
Jason Jennings,C,11.92,-,3.62,29,32,8,2002
Fred Jones,SG,11.12,-,3.13,33.5,37.5,-,2002
Lonnie Jones,C-PF,11.8,-,3.33,30.5,31.5,15,2002
Mario Kasun,C,-,-,-,-,-,12,2002
Sean Kennedy,PG,11.64,-,3.28,22.5,26.5,-,2002
Kris Lang,C-PF,11.36,-,3.24,28,29,19,2002
Muhammed Lasege,C-PF,12.96,-,3.29,27.5,30,18,2002
Steve Logan,PG,-,-,-,-,-,11,2002
Kevin Lyde,C-PF,12.97,-,3.36,27.5,30.5,13,2002
Tito Maddox,PG,12.2,-,3.24,27,32.5,-,2002
Kei Madison,SF,11.74,-,3.22,27.5,34.5,6,2002
Chris Massie,PF,-,-,-,-,-,-,2002
Immanuel McElroy,SG,-,-,-,-,-,9,2002
Aaron McGhee,PF-SF,12.24,-,-,26,28.5,-,2002
Elvin Mims,SF-SG,11.17,-,3.22,32,38,7,2002
Byron Mouton,SG-SF,11.84,-,3.1,24,30,7,2002
Ronald Murray,SG,11.13,-,3.16,31,36.5,9,2002
Uche Okafor,PF-C,14.45,-,3.34,24.5,25,10,2002
Chris Owens,PF-SF,-,-,-,-,-,10,2002
Jannero Pargo,PG,11.11,-,3.2,25.5,29.5,5,2002
Smush Parker,PG-SG,12.3,-,3.26,21,28.5,1,2002
Luke Recker,SG-SF,10.78,-,3.27,25.5,31,13,2002
Rolan Roberts,PF,11.36,-,3.33,32.5,37.5,16,2002
Travis Robinson,SF,11.96,-,3.43,26,33,3,2002
Kareem Rush,SG-SF,11.86,-,3.22,26,30,15,2002
Brooks Sales,PF-C,11.05,-,3.29,26,29.5,13,2002
John Salmons,SF-SG,11.35,-,3.25,30.5,34.5,12,2002
Predrag Savovic,SG,10.94,-,3.38,22.5,28.5,13,2002
Julian Sensley,PF-SF,11.85,-,3.32,27.5,31.5,8,2002
Israel Sheinfeld,PF-C,-,-,-,-,-,8,2002
Preston Shumpert,SF,11.03,-,3.24,28.5,29,9,2002
Tamar Slay,SF,10.94,-,3.09,32.5,38,11,2002
Darius Songaila,PF,11.69,-,3.52,24.5,29.5,8,2002
Amar'e Stoudemire,PF,11.19,-,3.25,32,35.5,12,2002
Marcus Taylor,PG,11.25,-,3.31,27.5,33.5,4,2002
Jobey Thomas,SG,11.46,-,3.3,26,32,13,2002
Dajuan Wagner,PG-SG,12.03,-,3.22,28,35,16,2002
Chris Wilcox,PF-C,11.43,-,3.16,31,34.5,20,2002
Frank Williams,PG,11.73,-,3.29,26,31,-,2002
George Williams,PF-SF,11.21,-,3.24,33.5,39,11,2002
Jay Williams,PG,10.34,-,3.09,28.5,36,10,2002
Qyntel Woods,SF-SG,11.94,-,3.23,33.5,34.5,2,2002
Vincent Yarbrough,SF,11.7,-,3.32,30,34,10,2002
Adam Allenspach,C,11.9,-,3.4,28.5,31,16,2001
Gilbert Arenas,SG,-,-,3.25,31.5,36,12,2001
Brandon Armstrong,SG,10.91,-,3.2,30,37,6,2001
Shane Battier,SF-PF,10.95,-,3.3,29.5,33,12,2001
Cookie Belcher,SG-PG,11.26,-,2.91,35,41.5,7,2001
Charlie Bell,PG,10.59,-,3.12,31.5,38,15,2001
Ruben Boumtje-Boumtje,C,11.84,-,3.33,26.5,31,6,2001
Calvin Bowman,PF,11.96,-,3.21,28.5,34.5,7,2001
Michael Bradley,PF,11.11,-,3.35,27,30,13,2001
Jamison Brewer,PG,9.65,-,3.15,26,32.5,12,2001
Kwame Brown,PF-C,11.59,-,3.45,30,33,17,2001
SirValiant Brown,PG,11.23,-,3,31,39.5,10,2001
Damone Brown,SF,11.81,-,3.27,32,37,6,2001
Ryan Carroll,SF-SG,11,-,3.1,34.5,39,14,2001
Tyson Chandler,SF-PF,12.13,-,3.36,31,33.5,2,2001
Eric Chenowith,C,12.5,-,3.59,23.5,27.5,6,2001
Sam Clancy,PF,11.47,-,3.13,31,34,15,2001
Gyasi Cline-Heard,PF,11.4,-,3.23,31.5,34.5,11,2001
Jason Collins,PF-C,12.1,-,3.54,25.5,28.5,8,2001
Jarron Collins,C-PF,11.65,-,3.6,23,29,10,2001
Omar Cook,PG,10.77,-,3.2,31,35.5,9,2001
Eddy Curry,C,12.25,-,3.53,28,31,16,2001
Tate Decker,SF,12.19,-,3.47,25.5,28.5,13,2001
DeSagana Diop,C,12.37,-,3.56,21.5,25.5,15,2001
Robb Dryden,C,12.47,-,3.46,27,30,8,2001
Anthony Evans,PF,12.56,-,3.31,31.5,33,18,2001
Maurice Evans,SG,10.08,-,3.12,34.5,37.5,22,2001
Benjamin Eze,C-PF,13.05,-,3.36,29,32,14,2001
Kimani Ffriend,C-PF,11.46,-,3.09,32,33,9,2001
Alton Ford,PF,11.7,-,3.16,34.5,36.5,21,2001
Joseph Forte,SG,11.51,-,3.19,26.5,33,10,2001
Jason Gardner,PG,10.88,-,2.92,34.5,40,9,2001
Jerry Green,PG-SG,11.7,-,3.17,28.5,35,13,2001
Kenny Gregory,SF,11.33,-,3.1,39.5,45.5,10,2001
Eddie Griffin,PF-SF,11.77,-,3.21,26.5,33,3,2001
Trenton Hassell,SG-SF,11.57,-,3.29,35.5,37.5,12,2001
Kirk Haston,PF-SF,12.25,-,3.35,27,31.5,11,2001
Charles Hathaway,C,-,-,-,-,-,-,2001
Brendan Haywood,C,12.87,-,3.5,27,28.5,17,2001
Michael Hicks,SG,11.38,-,3.19,33,40.5,13,2001
Steven Hunter,C-PF,11.99,-,3.15,30.5,38.5,11,2001
Andre Hutson,PF,11.25,-,3.3,29,32.5,17,2001
Nate James,SF,11.42,-,3.31,26,31,23,2001
Richard Jefferson,SF,11.19,-,3.15,33,38.5,14,2001
Horace Jenkins,PG,10.97,-,3.1,34.5,41,2,2001
Darrell Johns,C,12.41,-,3.59,23.5,30,18,2001
Ken Johnson,C,11.27,-,3.12,32.5,35,13,2001
Joe Johnson,SF-SG,12.05,-,3.4,32.5,36.5,12,2001
Darren Kelly,SG-PG,11.38,-,3.21,30.5,34.5,1,2001
Sean Lampley,SF,11.06,-,3.12,36,40,12,2001
Zach Marbury,PG-SG,11.53,-,3.1,33,36.5,-,2001
Mike Mardesich,C-PF,11.65,-,3.45,24,30,8,2001
DeMarcus Minor,SG,10.57,-,3.15,29,41,9,2001
Jamario Moon,SF,11.64,-,3.08,33,43,-,2001
Troy Murphy,PF,11.22,-,3.43,28.5,34.5,11,2001
Troy Ostler,PF-SF,13.42,-,3.5,26.5,29.5,2,2001
Lazaros Papadopoulos,C-PF,12,-,3.7,23,26,4,2001
Rashad Phillips,PG,11.93,-,3.27,27,32,5,2001
Demetrius Porter,PG,11.5,-,3.34,26,31,5,2001
Martin Rancik,PF-SF,10.77,-,3.19,32,37,14,2001
Jason Richardson,SF-SG,11.75,-,3.12,32.5,39.5,15,2001
Norman Richardson,SG,10.97,-,3.15,30.5,35.5,2,2001
Jeryl Sasser,PG-SG,11.47,-,3.22,29,34,1,2001
Kenny Satterfield,PG,12.05,-,3.2,28.5,33,3,2001
Brian Scalabrine,PF-SF,11.75,-,3.47,27,30.5,14,2001
Lee Scruggs,PF-SF,13.28,-,3.55,23.5,29.5,-,2001
Bobby Simmons,SF,11.69,-,3.41,27.5,34,12,2001
Will Solomon,PG-SG,11.3,-,3.22,28.5,35,4,2001
Greg Stevenson,SF,11.29,-,3.23,30,35.5,15,2001
Damone Thornton,PF,11.17,-,3.2,33.5,37.5,19,2001
Jamaal Tinsley,PG,11.96,-,3.2,28,37.5,1,2001
Tory Walker,SF,11.95,-,3.25,28,33,7,2001
Souleymane Wane,C,12.02,-,3.46,29,30.5,9,2001
Earl Watson,PG,10.97,-,3.19,32.5,37.5,4,2001
Rodney White,SF,12.07,-,3.47,27.5,33,16,2001
Loren Woods,C-PF,11.83,-,3.48,24.5,28,10,2001
Michael Wright,PF,11.37,-,3.21,27.5,33.5,18,2001
Brent Wright,PF-SF,12.25,-,3.3,23,29,19,2001
Malik Allen,PF-C,11.83,-,3.38,25.5,29,13,2000
Harold Arceneaux,SG-SF,13.8,-,-,-,29,-,2000
Lamont Barnes,PF-C,12.3,-,3.4,28,29.5,10,2000
Mario Bland,PF,13.04,-,3.47,27,31,15,2000
Primoz Brezec,C,11.53,-,3.55,26,29.5,-,2000
Ernest Brown,C,-,-,-,-,-,2,2000
Speedy Claxton,PG,10.48,-,3.06,36,42.5,6,2000
Eric Coley,SG-SF,11.4,-,3.15,35,38,10,2000
Ed Cota,PG,10.98,-,3.24,26.5,33.5,1,2000
Schea Cotton,SF,11.55,-,3,34,38,19,2000
Jamal Crawford,PG-SG,-,-,-,-,-,-,2000
Caswell Cyrus,PF,12.12,-,3.16,33.5,37.5,18,2000
Khalid El-Amin,PG,10.59,-,3.32,27.5,32,6,2000
Vassil Evtimov,PF,11.75,-,3.52,21,28.5,13,2000
Antonis Fotsis,SF,11.6,-,3.44,27,30,2,2000
Eddie Gill,PG,11.12,-,3.18,35,38.5,13,2000
Ceedric Goodwyn,SF-PF,-,-,-,-,-,-,2000
Marcus Goree,SF-PF,12,-,3.25,29.5,33.5,13,2000
A.J. Granger,SF,10.73,-,3.25,30,34,20,2000
A.J. Guyton,PG-SG,10.55,-,3.22,33,37.5,9,2000
Ron Hale,SG-SF,12.58,-,3.2,29.5,34.5,11,2000
Jason Hart,PG,11.7,-,3.34,29.5,33.5,9,2000
Donnell Harvey,PF,11.23,-,-,33,32.5,15,2000
Johnny Hemsley,SG-SF,11.5,-,3.19,31.5,35,5,2000
Michael Hermon,SG-PG,11.79,-,3.25,29,33,-,2000
Cory Hightower,SG-SF,11.92,-,3.37,29.5,34.5,-,2000
Shaheen Holloway,PG,11.22,-,3.32,-,-,6,2000
Eddie House,SG-PG,11.12,-,3.27,29.5,38.5,5,2000
Jimmie Hunter,SG-PG,11.23,-,3.35,29,36,-,2000
Jacob Jaacks,PF,11.48,-,3.58,26,32,3,2000
Marko Jaric,SG-SF,11.32,-,3.28,27.5,33,-,2000
Nate Johnson,SF,11.9,-,3.33,27,33.5,13,2000
Kenyon Jones,PF-C,12.44,-,3.6,28.5,30,20,2000
Mark Karcher,SG,11.51,-,3.4,27.5,30.5,12,2000
Brandon Kurtz,PF-C,-,-,-,-,-,7,2000
Dan Langhi,SF,10.85,-,3.24,31,34.5,12,2000
Justin Love,PG-SG,10.99,-,3.31,31,38.5,24,2000
Mark Madsen,PF,12.12,-,3.46,30.5,33.5,13,2000
Dan McClintock,C-PF,11.52,-,3.33,33,35,20,2000
Pete Mickeal,SG-SF,10.83,-,3.06,28,34.5,8,2000
Brian Montonati,PF,11.85,-,3.53,25,29,5,2000
Gabe Muoneke,PF-SF,11,-,3.4,30.5,34,22,2000
Ndongo N'diaye,C,13.16,-,3.69,24.5,27.5,4,2000
Eduardo Najera,PF-SF,11.38,-,3.45,28,35,15,2000
Matthew Nielsen,PF,11.28,-,3.35,26,29,3,2000
Chris Porter,SF-PF,10.93,-,3.2,28.5,35,6,2000
Lavor Postell,SG,11.79,-,3.3,33.5,36.5,17,2000
Igor Rakocevic,PG,10.4,-,3.1,27.5,34,9,2000
Reed Rawlings,SG-SF,11.1,-,3.27,28.5,33.5,13,2000
Michael Redd,SG-SF,12.06,-,3.34,27,31,12,2000
Damon Reed,PF-C,11.21,-,3.31,27.5,31.5,4,2000
Aubrey Reese,PG,11.13,-,3.25,31.5,37.5,14,2000
Terrance Roberson,SF,11.66,-,-,29,32.5,11,2000
Julius Doc Robinson,PG,12.54,-,3.41,30,37.5,-,2000
Pepe Sanchez,PG,11.62,-,3.44,26,31,8,2000
Matt Santangelo,PG,10.66,-,3.06,33.5,43,12,2000
Alex Scales,SG-PG,10.98,-,3.21,38.5,42.5,10,2000
Karim Shabazz,C,12.72,-,3.36,24.5,28,2,2000
Nick Sheppard,PF-C,12.14,-,3.52,23.5,25.5,18,2000
Mike Smith,SF,11.32,-,3.22,33,21,12,2000
Jabari Smith,PF-C,12.45,-,3.43,24.5,30,15,2000
Jarrett Stephens,PF,11.98,-,3.46,27,29,13,2000
Bootsy Thornton,SG,12.08,-,3.33,26.5,31,7,2000
Jaquay Walls,PG,10.75,-,3.23,28.5,35.5,-,2000
Jameel Watkins,PF-C,12.38,-,3.45,28,30.5,11,2000
Amari Bailey,SG,11.34,-,3.19,28.5,35,-,2023
Emoni Bates,SF,11.54,-,3.49,27,32.5,-,2023
Reece Beekman,PG,10.99,3.33,3.14,30.5,38,-,2023
Anthony Black,PG,11.04,-,3.35,32,39,-,2023
Adem Bona,C,-,-,-,-,-,-,2023
Kobe Brown,PF,11.39,3.23,3.33,28.5,32,-,2023
Kobe Bufkin,SG,11.71,-,3.26,28.5,36,-,2023
Toumani Camara,PF,10.7,3.18,3.41,28.5,33,-,2023
Sidy Cissoko,SF,11.24,-,3.31,30.5,35.5,-,2023
Jaylen Clark,SG,-,-,-,-,-,-,2023
Noah Clowney,PF,-,-,-,-,-,-,2023
Bilal Coulibaly,SG-SF,-,-,-,-,-,-,2023
Ricky Council IV,SF,11.2,3.12,3.33,30.5,37,-,2023
Gradey Dick,SG,11.13,2.97,3.5,29,34,-,2023
Nikola Djurisic,SF,-,-,-,-,-,-,2023
Zach Edey,C,11.37,-,3.45,26,29.5,-,2023
Adam Flagler,PG,10.96,-,3.24,31,36,-,2023
Keyonte George,SG,-,-,-,-,-,-,2023
Mouhamed Gueye,C,-,-,-,-,-,-,2023
Jordan Hawkins,SG,-,-,-,-,-,-,2023
Coleman Hawkins,PF,12.14,-,-,26.5,32.5,-,2023
Scoot Henderson,PG,-,-,-,-,-,-,2023
Taylor Hendricks,PF,11.27,-,3.32,32.5,36,-,2023
DaRon Holmes II,C,11.48,-,3.2,29.5,35,-,2023
Jalen Hood-Schifino,PG,-,-,-,-,-,-,2023
Jett Howard,SF,-,-,-,-,-,-,2023
GG Jackson,PF,11.39,-,3.21,31,37,-,2023
Andre Jackson Jr.,SF,10.83,-,3.14,30.5,39.5,-,2023
Trayce Jackson-Davis,C,11.8,3.16,3.2,33,36.5,-,2023
Jamie Jaquez Jr.,SF,11.21,-,3.33,34.5,39,-,2023
Keyontae Johnson,SF,-,-,-,-,-,-,2023
Colby Jones,SG,11.14,3.09,3.33,30.5,35,-,2023
Ryan Kalkbrenner,C,12.27,-,3.39,28,30.5,-,2023
Arthur Kaluma,PF,11.35,3.25,3.44,32.5,34.5,-,2023
Mojave King,SG,11.07,-,3.18,33.5,42,-,2023
Bobi Klintman,PF,-,-,-,-,-,-,2023
Maxwell Lewis,SG,11.4,-,3.43,32.5,36.5,-,2023
Dereck Lively Jr.,C,-,-,-,-,-,-,2023
Chris Livingston,SF,11.65,-,3.27,30.5,37,-,2023
Seth Lundy,SF,11.02,-,3.15,31.5,35.5,-,2023
Kevin McCullar,SF,-,-,-,-,-,-,2023
Mike Miles Jr.,PG,11.01,3.25,3.11,33,37,-,2023
Brandon Miller,SF,-,-,-,-,-,-,2023
Jordan Miller,SF,11.43,3.21,3.17,32,36.5,-,2023
Leonard Miller,PF,11,-,3.33,32,37.5,-,2023
Judiah Mintz,PG,10.32,3.08,3.24,28.5,37,-,2023
Dillon Mitchell,PF,10.92,-,3.24,30.5,37,-,2023
Omari Moore,SG,10.8,-,3.22,23,29.5,-,2023
Kris Murray,PF,11.05,-,3.24,29.5,35,-,2023
Grant Nelson,PF,9.99,-,3.21,32,35.5,-,2023
James Nnaji,C,-,-,-,-,-,-,2023
Julian Phillips,SF,11.09,-,3.32,36,43,-,2023
Jalen Pickett,PG,11.91,3.33,3.35,28.5,33,-,2023
Brandon Podziemski,SG,11.16,3.09,3.21,31.5,39,-,2023
Olivier-Maxence Prosper,PF,10.59,3,3.21,35,40.5,-,2023
Rayan Rupert,SF,11.18,-,3.43,27.5,32.5,-,2023
Adama Sanogo,C,11.5,-,3.31,28.5,31,-,2023
Marcus Sasser,PG,10.68,-,3.43,27,35,-,2023
Brice Sensabaugh,SF,-,-,-,-,-,-,2023
Terrence Shannon Jr.,SF,10.36,-,3.06,32,37.5,-,2023
Ben Sheppard,SG,10.88,2.94,3.17,29.5,35.5,-,2023
Jalen Slawson,PF,11.26,-,3.29,29,33,-,2023
Terquavion Smith,SG,10.86,-,3.21,30,37,-,2023
Nick Smith Jr.,SG,-,-,-,-,-,-,2023
Julian Strawther,SF,10.94,3.46,3.31,27.5,34.5,-,2023
Ausar Thompson,SG,-,-,-,-,-,-,2023
Amen Thompson,SG,-,-,-,-,-,-,2023
Drew Timme,C,10.93,-,3.34,26,30.5,-,2023
Nae'Qwan Tomlin,PF,-,-,-,-,-,-,2023
Oscar Tshiebwe,C,12.26,-,3.32,29.5,32.5,-,2023
Azuolas Tubelis,PF,11.17,-,3.5,23.5,30.5,-,2023
Tristan Vukcevic,C,11.71,3.24,3.43,26,30.5,-,2023
Jarace Walker,PF,10.89,-,3.2,34.5,38,-,2023
Cason Wallace,PG,10.82,-,3.34,28,36,-,2023
Jordan Walsh,SF,10.83,-,3.3,33,36,-,2023
Victor Wembanyama,C,-,-,-,-,-,-,2023
Dariq Whitehead,SG,-,-,-,-,-,-,2023
Cam Whitmore,SF,10.82,3.26,3.2,31.5,40.5,-,2023
Jalen Wilson,SF,11.26,3.09,3.2,31.5,35,-,2023
Isaiah Wong,SG,10.93,-,3.22,32.5,37,-,2023